CustomerID,Age,AnnualIncome,SpendingScore
579,19,66860,92
580,68,26344,5
581,67,16750,84
582,52,69756,65
583,40,82957,30
584,34,73053,21
585,43,85855,84
586,25,30896,70
587,46,70761,22
588,43,77552,82
589,27,92454,72
590,43,105600,32
591,51,42935,33
592,68,52641,16
593,58,44711,76
594,24,85342,38
595,21,27182,98
596,67,102833,14
597,62,71276,36
598,28,34541,97
599,46,109457,23
600,53,97310,66
601,42,59813,85
602,38,52198,2
603,53,23820,91
604,27,39070,73
605,54,84768,65
606,26,26122,75
607,41,95559,67
608,52,88543,52
609,66,98441,62
610,52,56786,23
611,65,109934,26
612,53,114804,68
613,35,21737,82
614,66,51062,55
615,56,69237,6
616,49,66571,35
617,41,40510,22
618,40,34426,43
619,49,52265,15
620,54,32850,86
621,29,81150,60
622,66,102312,12
623,30,104613,49
624,40,89910,42
625,42,67375,38
626,52,50435,82
627,58,111443,45
628,47,72132,35
629,34,93945,30
630,66,97050,88
631,37,110402,30
632,65,17983,78
633,42,112241,6
634,39,35662,67
635,30,38510,80
636,36,93187,7
637,66,55998,52
638,53,71846,14
639,29,109071,73
640,58,21640,15
641,36,59547,21
642,29,69620,35
643,26,30317,66
644,24,22564,91
645,45,42345,2
646,31,109223,35
647,48,94273,82
648,69,89859,78
649,36,95765,20
650,64,89038,82
651,33,67393,10
652,22,81081,25
653,52,117650,66
654,29,44430,25
655,42,90532,54
656,69,42788,33
657,38,110505,36
658,53,63543,95
659,40,28919,14
660,33,84346,65
661,56,111122,80
662,62,54974,54
663,59,31371,52
664,56,60084,3
665,31,44629,99
666,48,66184,41
667,22,76916,6
668,52,88972,25
669,40,77187,13
670,46,27984,98
671,60,48039,8
672,28,100431,21
673,35,98691,98
674,64,73606,68
675,29,25616,25
676,26,117665,79
677,27,65072,68
678,61,39574,45
679,34,18430,60
680,55,27676,12
681,24,25816,32
682,63,47733,96
683,30,100680,92
684,57,17050,13
685,59,48933,31
686,26,39951,78
687,67,47413,20
688,44,49801,18
689,19,70619,93
690,22,47913,60
691,46,55600,63
692,54,72775,6
693,55,105816,32
694,36,105093,93
695,25,50400,43
696,65,19494,2
697,62,95688,60
698,18,104431,23
699,39,89691,83
700,69,112419,31
701,34,58001,5
702,24,82364,83
703,42,60028,34
704,62,112659,10
705,21,52573,89
706,53,15806,2
707,23,71638,11
708,48,44757,50
709,36,49636,31
710,61,95097,56
711,56,63280,79
712,44,39262,73
713,27,95435,87
714,43,77211,83
715,36,69842,9
716,56,71979,99
717,20,96470,21
718,62,53197,73
719,30,56844,28
720,67,79754,62
721,45,116868,7
722,37,49157,80
723,45,92129,16
724,25,55042,97
725,58,76665,4
726,56,97856,4
727,18,42376,40
728,20,70554,17
729,30,29199,52
730,45,96412,93
731,66,65948,52
732,42,88781,36
733,50,87750,38
734,55,81262,50
735,23,61600,63
736,61,91898,63
737,62,77483,62
738,49,33297,99
739,62,45448,7
740,64,41172,27
741,38,57874,92
742,33,22657,86
743,38,99386,14
744,28,40425,71
745,54,41685,86
746,53,39578,5
747,52,43831,55
748,36,22906,2
749,37,76413,62
750,35,69028,91
751,64,22287,21
752,58,48660,79
753,66,90758,21
754,31,75504,10
755,32,74720,87
756,48,117979,58
757,18,49701,39
758,20,98300,5
759,33,32674,65
760,40,98560,13
761,28,38874,85
762,29,58642,90
763,27,112820,85
764,49,80160,53
765,33,32602,82
766,25,118320,45
767,55,103801,32
768,29,40931,36
769,41,109377,81
770,45,44192,99
771,25,61542,60
772,45,57520,11
773,53,79772,63
774,43,73762,21
775,25,65106,52
776,67,96121,55
777,45,40559,26
778,45,48742,68
779,54,84669,34
780,58,95199,52
781,53,36754,82
782,44,18972,99
783,34,85831,93
784,26,56873,52
785,50,109661,29
786,37,24903,38
787,30,18020,42
788,45,56755,21
789,65,100956,42
790,46,101988,13
791,30,60648,64
792,63,118537,17
793,52,24516,9
794,23,17396,41
795,35,99082,1
796,68,34129,2
797,22,16591,60
798,64,26303,48
799,42,45561,29
800,19,86719,97
801,27,107108,10
802,47,114616,58
803,67,101231,60
804,62,22314,21
805,22,34623,28
806,50,82675,75
807,18,111826,34
808,35,80082,8
809,49,98624,59
810,64,48130,86
811,66,66756,72
812,28,112624,49
813,38,41292,79
814,43,101206,17
815,42,84274,60
816,39,17469,87
817,44,68947,88
818,66,37534,45
819,30,78620,83
820,50,63874,69
821,51,64708,32
822,58,89553,44
823,52,83344,65
824,18,64138,87
825,38,69302,8
826,65,62638,77
827,23,93249,72
828,45,17719,87
829,34,37890,43
830,22,92236,1
831,48,51509,51
832,22,57534,24
833,55,117302,99
834,20,107241,24
835,40,33787,17
836,54,63845,5
837,54,72932,20
838,27,107124,21
839,27,106659,58
840,36,48062,31
841,34,90713,100
842,38,102263,11
843,31,110756,52
844,26,75461,15
845,63,90418,83
846,18,81672,7
847,68,49832,28
848,62,46966,51
849,30,87545,58
850,21,27987,5
851,18,52311,5
852,66,46575,94
853,57,78852,96
854,49,16007,8
855,51,85981,64
856,45,91242,10
857,48,62517,38
858,25,44257,96
859,56,102272,92
860,43,57207,81
861,51,28281,95
862,20,76246,8
863,67,16435,25
864,29,113875,73
865,18,115686,66
866,61,106357,79
867,22,41660,50
868,47,20084,67
869,47,97197,49
870,34,28507,36
871,65,87595,68
872,64,98807,78
873,40,60539,41
874,32,22491,89
875,54,65192,62
876,38,95395,10
877,31,78888,21
878,19,88609,36
879,28,24077,12
880,68,35953,91
881,56,91919,2
882,55,82889,13
883,51,38821,53
884,55,52567,32
885,67,39860,95
886,51,36195,16
887,35,92475,32
888,47,105874,32
889,32,102266,98
890,44,36427,11
891,68,115732,10
892,51,42083,15
893,69,102046,17
894,55,72372,40
895,50,59064,18
896,41,22813,55
897,32,46598,73
898,47,108106,25
899,59,42082,59
900,68,44241,78
901,34,111214,89
902,22,59569,22
903,46,26745,30
904,21,41029,84
905,27,28025,85
906,34,116660,44
907,27,29288,32
908,34,104186,51
909,37,21540,46
910,41,112768,21
911,22,96958,99
912,51,83878,32
913,23,56846,94
914,19,116148,39
915,30,90932,12
916,60,32482,47
917,60,38411,18
918,65,65975,21
919,28,75545,13
920,68,93797,21
921,64,67307,8
922,40,18093,46
923,33,92258,7
924,48,37042,23
925,28,67930,96
926,33,59413,75
927,25,108623,86
928,21,112883,22
929,57,48756,89
930,21,68268,22
931,42,54214,92
932,20,96871,29
933,49,43602,13
934,20,68331,82
935,44,63901,2
936,46,114986,29
937,49,78416,85
938,67,47196,79
939,68,20626,52
940,36,22424,27
941,38,27857,50
942,22,34982,95
943,35,91961,79
944,45,16980,23
945,59,63290,88
946,39,41431,44
947,38,99976,77
948,23,97711,22
949,18,41385,43
950,22,53158,37
951,58,38019,61
952,29,33639,97
953,43,100530,56
954,63,114911,3
955,51,36563,63
956,66,54341,19
957,31,20776,23
958,43,51444,29
959,62,83916,30
960,44,23711,39
961,26,89318,25
962,43,97970,8
963,64,100553,58
964,39,45707,16
965,64,54110,72
966,47,76788,1
967,60,97879,5
968,65,53827,3
969,34,20655,65
970,43,59859,4
971,53,68625,99
972,18,67098,96
973,25,30251,64
974,66,15526,98
975,52,83760,89
976,69,62837,10
977,32,26536,21
978,64,43541,46
979,39,94083,91
980,31,66027,27
981,43,49531,66
982,45,23712,41
983,40,119101,13
984,31,80455,9
985,41,89744,36
986,19,20109,86
987,62,64268,90
988,43,115737,58
989,31,69615,54
990,68,97503,12
991,24,44759,81
992,20,100708,78
993,64,75112,14
994,40,117471,34
995,63,41589,53
996,60,45015,20
997,64,44009,75
998,62,98309,16
999,35,77046,95
1000,55,41143,70
